F1,F2,F3,F4,F5,F6,F7,F8,label
389.0,4.745501285347044,0.46786632390745503,0.16966580976863754,1.5012853470437018,0.699228791773779,0.64,0.0,0
394.0,6.243654822335025,0.6649746192893401,0.0583756345177665,1.6700507614213198,0.766497461928934,1.2,0.0,0
23.0,5.304347826086956,0.34782608695652173,0.17391304347826086,1.9130434782608696,0.9130434782608695,0.9565217391304348,0.0,0
335.0,4.874626865671642,0.5462686567164179,0.14626865671641792,1.5402985074626865,0.764179104477612,0.82,0.0,0
347.0,5.1354466858789625,0.3919308357348703,0.1440922190201729,1.659942363112392,0.6887608069164265,0.86,0.0,0
365.0,5.161643835616438,0.4794520547945205,0.14520547945205478,1.8383561643835618,0.6684931506849315,0.86,0.0,0
52.0,4.769230769230769,0.4423076923076923,0.17307692307692307,1.4230769230769231,0.8076923076923077,0.8,0.0,0
265.0,4.871698113207547,0.5018867924528302,0.12452830188679245,1.5924528301886793,0.5924528301886792,0.64,0.0,0
358.0,5.11731843575419,0.5502793296089385,0.17318435754189945,1.6396648044692737,0.6340782122905028,0.82,1.0,0
436.0,4.905963302752293,0.5068807339449541,0.1651376146788991,1.5573394495412844,0.6995412844036697,0.64,1.0,0
26.0,5.846153846153846,0.5384615384615384,0.038461538461538464,2.1153846153846154,0.7692307692307693,0.6153846153846154,0.0,0
481.0,5.733887733887734,0.6548856548856549,0.09563409563409564,1.392931392931393,0.8191268191268192,0.7,0.0,0
430.0,5.21860465116279,0.541860465116279,0.16279069767441862,1.6325581395348838,0.7697674418604651,0.8,0.0,0
463.0,5.397408207343412,0.6047516198704104,0.13390928725701945,1.5356371490280778,0.6285097192224622,0.7,0.0,0
14.0,4.857142857142857,0.5,0.0,1.8571428571428572,0.8571428571428571,0.21428571428571427,0.0,0
299.0,4.94314381270903,0.4782608695652174,0.15384615384615385,2.1137123745819397,0.5418060200668896,0.78,0.0,0
101.0,5.247524752475248,0.6831683168316832,0.09900990099009901,1.6633663366336633,0.8316831683168316,0.84,0.0,0
15.0,5.066666666666666,0.5333333333333333,0.0,1.4666666666666666,0.8666666666666667,0.2,0.0,0
48.0,5.8125,0.7083333333333334,0.0625,1.6875,0.6666666666666666,0.4166666666666667,0.0,0
260.0,5.1461538461538465,0.5307692307692308,0.15384615384615385,1.7230769230769232,0.6807692307692308,1.18,0.0,0
225.0,4.435555555555555,0.5866666666666667,0.15555555555555556,1.4177777777777778,0.7111111111111111,0.54,0.0,0
494.0,5.6417004048583,0.562753036437247,0.1194331983805668,1.860323886639676,0.7550607287449392,0.8,0.0,0
488.0,5.084016393442623,0.47540983606557374,0.17418032786885246,1.5635245901639345,0.6372950819672131,0.64,0.0,0
154.0,5.175324675324675,0.5454545454545454,0.18831168831168832,1.7467532467532467,0.7467532467532467,0.78,0.0,0
307.0,5.371335504885994,0.5570032573289903,0.13029315960912052,1.9153094462540716,0.6123778501628665,1.2,0.0,0
124.0,5.112903225806452,0.33064516129032256,0.08870967741935484,1.6693548387096775,0.6451612903225806,0.82,0.0,0
217.0,4.875576036866359,0.5299539170506913,0.08755760368663594,1.608294930875576,0.7788018433179723,0.6,1.0,0
282.0,5.141843971631205,0.4574468085106383,0.16666666666666666,1.6347517730496455,0.6170212765957447,0.64,0.0,0
114.0,5.2631578947368425,0.5350877192982456,0.07017543859649122,1.8596491228070176,0.7807017543859649,0.78,0.0,0
19.0,4.894736842105263,0.3157894736842105,0.15789473684210525,1.736842105263158,0.8421052631578947,0.5263157894736842,0.0,0
191.0,4.994764397905759,0.6073298429319371,0.13612565445026178,1.4659685863874345,0.8272251308900523,0.96,0.0,0
256.0,4.671875,0.55859375,0.09375,1.55078125,0.8046875,1.06,0.0,0
